,Event,mass1,mass2,mchirp,spin1x,spin1y,spin1z,spin2x,spin2y,spin2z,mass1_recover,mass2_recover,mchirp_recover,spin1x_recover,spin1y_recover,spin1z_recover,spin2x_recover,spin2y_recover,spin2z_recover,SNR,P_NS,P_EMB,M_rem,label
45,64173_1000641729,1.4367965,1.2652105,1.1732689,0.0,0.0,0.0,0.0,0.0,0.0,1.4110543,1.2878109,1.1732789,0.0,0.0,0.0,0.0,0.0,0.0,14.34821371546295,1.0,1.0,0.04562239337085302,1
46,68749_1000687490,1.4536558,1.4611602,1.2687423,0.0,0.0,0.0,0.0,0.0,0.0,1.8234957,1.1757652,1.2686224,0.0,0.0,0.0,0.0,0.0,0.0,9.009914829272285,1.0,1.0,0.003405855977002161,0
47,62049_1000620489,1.5148656,1.2115891,1.177926,0.0,0.0,0.0,0.0,0.0,0.0,1.8567334,1.0043583,1.1778136,0.0,0.0,0.0,0.0,0.0,0.0,12.03114476623043,1.0,1.0,0.060325750309148225,1
48,61104_1000611040,1.5684743,1.3983017,1.2888134,0.0,0.0,0.0,0.0,0.0,0.0,1.8348163,1.2049187,1.2887334,0.0,0.0,0.0,0.0,0.0,0.0,11.32828112718845,1.0,1.0,0.011840511267694706,0
49,61083_1000610830,1.4088486,1.4603275,1.2486402,0.0,0.0,0.0,0.0,0.0,0.0,2.102365,1.004185,1.2481232,0.0,0.0,0.0,0.0,0.0,0.0,9.991270835506374,1.0,1.0,0.01028780367764349,0
50,60624_1000606239,1.4977927,1.1972703,1.1643206,0.0,0.0,0.0,0.0,0.0,0.0,1.5372237,1.1680244,1.1643189,0.0,0.0,0.0,0.0,0.0,0.0,15.73738052839088,1.0,1.0,0.06491687723172225,1
51,68363_1000683629,1.3989255,1.3758665,1.2077484,0.0,0.0,0.0,0.0,0.0,0.0,1.5227271,1.2659442,1.207654,0.0,0.0,0.0,0.0,0.0,0.0,9.46674775210288,1.0,1.0,0.017062376954634296,0
52,64057_1000640569,1.5408075,1.5563209,1.3480831,0.0,0.0,0.0,0.0,0.0,0.0,1.6656213,1.4410654,1.3480204,0.0,0.0,0.0,0.0,0.0,0.0,13.95401532766161,1.0,1.0,,1
53,64338_1000643379,1.3862065,1.3957309,1.2109,0.0,0.0,0.0,0.0,0.0,0.0,1.4140011,1.368336,1.2108868,0.0,0.0,0.0,0.0,0.0,0.0,9.285433836636125,1.0,1.0,0.0148316260774444,0
54,60649_1000606490,1.3611959,1.3848934,1.1952513,0.0,0.0,0.0,0.0,0.0,0.0,1.7074238,1.113905,1.1951514,0.0,0.0,0.0,0.0,0.0,0.0,24.71662825202738,1.0,1.0,0.02042217843014003,0
55,67717_1000677170,1.3270622,1.3013341,1.1440102,0.0,0.0,0.0,0.0,0.0,0.0,1.7455277,1.0040023,1.1437871,0.0,0.0,0.0,0.0,0.0,0.0,9.150260353904363,1.0,1.0,0.035985649117157244,1
