event_ID,P_NS,P_REM
891,0.1626,0.0
892,0.9885,0.0
893,0.9253,0.0003
894,0.9265,0.0
895,0.0123,0.0
896,0.0124,0.0
897,0.9854,0.1239
898,0.9885,0.9847
899,0.9885,0.9847
900,0.9885,0.9847
901,0.9885,0.9847
902,0.9885,0.9847
903,0.9885,0.9847
904,0.9885,0.9847
905,0.9885,0.9847
906,0.0123,0.0
907,0.0123,0.0
908,0.0123,0.0
909,0.9885,0.9847
910,0.9885,0.9847
911,0.0123,0.0
912,0.0123,0.0
913,0.0123,0.0
914,0.0782,0.0
915,0.0124,0.0
916,0.0123,0.0
917,0.9885,0.9847
918,0.9885,0.9847
919,0.9885,0.9847
920,0.0123,0.0
921,0.0123,0.0
922,0.0123,0.0
923,0.0684,0.0
924,0.9885,0.0
925,0.9885,0.0
926,0.0123,0.0
927,0.0123,0.0
928,0.0123,0.0
929,0.0188,0.0
930,0.0123,0.0
931,0.0123,0.0
932,0.0123,0.0
933,0.0123,0.0
934,0.0123,0.0
935,0.0135,0.0
936,0.9883,0.0019
937,0.9885,0.0
938,0.9881,0.0005
939,0.9885,0.0005
940,0.0123,0.0
941,0.032,0.0
942,0.0296,0.0
943,0.9885,0.0
944,0.9885,0.0
945,0.9885,0.0
946,0.9885,0.0
947,0.9885,0.0
948,0.9883,0.0001
949,0.9885,0.9847
950,0.9864,0.5411
951,0.9885,0.9847
952,0.9885,0.9847
953,0.9885,0.9847
954,0.9885,0.9847
955,0.9885,0.9847
956,0.9885,0.9847
957,0.5995,0.0
958,0.9885,0.0
959,0.9283,0.0
960,0.0123,0.0
961,0.0123,0.0
962,0.0123,0.0
963,0.0132,0.0
964,0.1103,0.0
965,0.0163,0.0
966,0.0123,0.0
967,0.0123,0.0
968,0.0432,0.0
969,0.4776,0.0
970,0.4787,0.0
971,0.9885,0.0
972,0.5817,0.0
973,0.31,0.0
974,0.0123,0.0
975,0.2895,0.0
976,0.5851,0.0258
977,0.615,0.0127
978,0.5704,0.0003
979,0.708,0.1246
980,0.9885,0.9847
981,0.9885,0.9847
982,0.9885,0.9847
983,0.9885,0.9847
984,0.9885,0.9847
985,0.9885,0.9847
986,0.9885,0.9847
987,0.9885,0.9847
988,0.032,0.0
989,0.9885,0.9847
990,0.9885,0.0
991,0.9885,0.0
992,0.9885,0.0
993,0.9867,0.5321
994,0.9853,0.1972
995,0.9874,0.0619
996,0.9874,0.0346
997,0.9878,0.0536
998,0.9882,0.0022
999,0.0123,0.0
1000,0.9885,0.9847
1001,0.9885,0.9847
1002,0.9885,0.9847
1003,0.9885,0.9847
1004,0.9885,0.9847
1005,0.717,0.0
1006,0.9508,0.0
1007,0.2529,0.0
1008,0.9885,0.9847
1009,0.9885,0.9847
1010,0.9885,0.9847
1011,0.4133,0.0
1012,0.9885,0.0
1013,0.0123,0.0
1014,0.0455,0.0
1015,0.0123,0.0
1016,0.9885,0.9847
1017,0.9885,0.9847
1018,0.9885,0.9847
1019,0.9885,0.9847
1020,0.9885,0.9847
1021,0.9885,0.9847
1022,0.9885,0.9847
1023,0.9885,0.9847
1024,0.9885,0.9847
1025,0.9885,0.9847
1026,0.9885,0.9847
1027,0.0123,0.0
1028,0.0123,0.0
1029,0.0123,0.0
1030,0.9416,0.0748
1031,0.9853,0.0599
1032,0.9874,0.0158
1033,0.9864,0.4453
1034,0.9871,0.9523
1035,0.0123,0.0
1036,0.0123,0.0
1037,0.0241,0.0
1038,0.7894,0.0
1039,0.5637,0.0
1040,0.5662,0.0002
1041,0.9885,0.9847
1042,0.9885,0.9847
1043,0.2687,0.0
1044,0.0123,0.0
1045,0.0682,0.0
1046,0.9885,0.9847
1047,0.9885,0.9847
1048,0.0432,0.0
1049,0.0662,0.0
1050,0.0432,0.0
1051,0.0123,0.0
1052,0.0434,0.0
1053,0.0125,0.0
1054,0.9885,0.9847
1055,0.9864,0.8751
1056,0.9885,0.9847
1057,0.9885,0.9847
1058,0.9885,0.9847
1059,0.9885,0.9847
1060,0.0124,0.0
1061,0.0123,0.0
1062,0.0125,0.0
1063,0.9885,0.9847
1064,0.9867,0.8805
1065,0.9885,0.9847
1066,0.9883,0.9462
1067,0.9885,0.9847
1068,0.9885,0.9847
1069,0.9885,0.9847
1070,0.9885,0.9847
1071,0.9885,0.9847
1072,0.9885,0.9847
1073,0.9885,0.9847
1074,0.9885,0.9847
1075,0.9885,0.9847
1076,0.9885,0.9847
1077,0.9885,0.9847
1078,0.9885,0.9847
1079,0.9885,0.9847
1080,0.9885,0.9847
1081,0.9885,0.9847
1082,0.9885,0.9847
1083,0.9885,0.9847
1084,0.9885,0.9847
1085,0.9885,0.0
1086,0.9885,0.0
1087,0.9853,0.0343
1088,0.9853,0.001
1089,0.0123,0.0
1090,0.0123,0.0
1091,0.0123,0.0
1092,0.0434,0.0
1093,0.9885,0.0
1094,0.7496,0.0004
1095,0.9885,0.0
1096,0.9885,0.0
1097,0.9885,0.0
1098,0.9524,0.0
1099,0.8575,0.0
1100,0.7669,0.0
1101,0.812,0.0
1102,0.9885,0.9847
1103,0.9867,0.6964
1104,0.9885,0.9847
1105,0.9885,0.9847
1106,0.9885,0.9847
1107,0.9885,0.9847
1108,0.9884,0.9825
1109,0.9885,0.9847
1110,0.9885,0.9847
1111,0.9885,0.9847
1112,0.9885,0.9847
1113,0.9885,0.9847
1114,0.9885,0.9847
1115,0.0123,0.0
1116,0.0123,0.0
1117,0.0123,0.0
1118,0.9885,0.9847
1119,0.9885,0.9847
1120,0.9885,0.9847
1121,0.9885,0.9847
1122,0.9885,0.9847
1123,0.8964,0.0
1124,0.9621,0.0002
1125,0.6795,0.0
1126,0.9885,0.9847
1127,0.9885,0.9847
1128,0.9885,0.9847
1129,0.9858,0.378
1130,0.9885,0.9847
1131,0.9885,0.9847
1132,0.0123,0.0
1133,0.9884,0.0016
1134,0.9869,0.0345
1135,0.9856,0.0725
1136,0.9254,0.0384
1137,0.9853,0.036
1138,0.9885,0.0
1139,0.9885,0.0
1140,0.9508,0.0
1141,0.9486,0.0
1142,0.9508,0.0
1143,0.032,0.0
1144,0.0123,0.0
1145,0.0124,0.0
1146,0.0123,0.0
1147,0.9885,0.9847
1148,0.9871,0.8365
1149,0.9885,0.9847
1150,0.9885,0.9847
1151,0.9885,0.9847
1152,0.032,0.0
1153,0.0431,0.0
1154,0.0186,0.0
1155,0.0123,0.0
1156,0.0123,0.0
1157,0.0123,0.0
1158,0.0124,0.0
1159,0.0132,0.0
1160,0.4567,0.0
1161,0.9885,0.0
1162,0.755,0.0001
1163,0.9885,0.9847
1164,0.9885,0.9847
1165,0.5056,0.0
1166,0.8964,0.0002
1167,0.9885,0.9847
1168,0.9885,0.9847
1169,0.9885,0.9847
1170,0.9885,0.9847
1171,0.9885,0.9847
1172,0.0123,0.0
1173,0.9885,0.9847
1174,0.9885,0.9847
1175,0.9885,0.9847
1176,0.0433,0.0
1177,0.0123,0.0
1178,0.0123,0.0
1179,0.0123,0.0
1180,0.9885,0.9847
1181,0.9885,0.9847
1182,0.9885,0.9847
1183,0.9885,0.9847
1184,0.9885,0.9847
1185,0.9883,0.9795
1186,0.9885,0.0
1187,0.9885,0.0
1188,0.9885,0.0
1189,0.9885,0.0
1190,0.9885,0.9847
1191,0.9885,0.9847
1192,0.9885,0.9847
1193,0.9885,0.9847
1194,0.9885,0.9847
1195,0.9885,0.9847
1196,0.9857,0.1115
